Month,Day,Year,Hour,Minute,Outdoor Temperature (°F),Hourly Rain (in/hr),Solar Radiation (W/m^2)
3,2,2023,23,55,63.9,0,0
3,2,2023,23,50,64,0,0
3,2,2023,23,45,0,0,0
3,2,2023,23,40,0,0,0
3,2,2023,23,35,0,0,0
3,2,2023,23,30,0,0,0
3,2,2023,23,25,0,0,0
3,2,2023,23,20,0,0,0
3,2,2023,23,15,0,0,0
3,2,2023,23,10,0,0,0
3,2,2023,23,5,0,0,0
3,2,2023,23,0,0,0,0
3,2,2023,22,55,0,0,0
3,2,2023,22,50,65.3,0,0
3,2,2023,22,45,0,0,0
3,2,2023,22,40,65.5,0,0
3,2,2023,22,35,65.8,0,0
3,2,2023,22,30,66.2,0,0
3,2,2023,22,25,66.4,0,0
3,2,2023,22,20,0,0,0
3,2,2023,22,15,66.9,0,0
3,2,2023,22,10,66.9,0,0
3,2,2023,22,5,66.9,0,0
3,2,2023,22,0,66.7,0,0
3,2,2023,21,55,66.7,0,0
3,2,2023,21,50,0,0,0
3,2,2023,21,45,66.7,0,0
3,2,2023,21,40,67.1,0,0
3,2,2023,21,35,67.3,0,0
3,2,2023,21,30,67.3,0,0
3,2,2023,21,25,66.9,0,0
3,2,2023,21,20,0,0,0
3,2,2023,21,15,66.9,0,0
3,2,2023,21,10,68,0,0
3,2,2023,21,5,68,0,0
3,2,2023,21,0,68.2,0,0
3,2,2023,20,55,68.2,0,0
3,2,2023,20,50,68.2,0,0
3,2,2023,20,45,68.2,0,0
3,2,2023,20,40,68.4,0,0
3,2,2023,20,35,68.4,0,0
3,2,2023,20,30,68.9,0,0
3,2,2023,20,25,0,0,0
3,2,2023,20,20,69.1,0,0
3,2,2023,20,15,69.1,0,0
3,2,2023,20,10,69.1,0,0
3,2,2023,20,5,69.1,0,0
3,2,2023,20,0,69.3,0,0
3,2,2023,19,55,69.3,0,0
3,2,2023,19,50,69.3,0,0
3,2,2023,19,45,0,0,0
3,2,2023,19,40,69.4,0,0
3,2,2023,19,35,70,0,0
3,2,2023,19,30,0,0,0
3,2,2023,19,25,70.3,0,0
3,2,2023,19,20,70.3,0,0
3,2,2023,19,15,70.3,0,0
3,2,2023,19,10,70.9,0,0
3,2,2023,19,5,70.9,0,0
3,2,2023,19,0,71.4,0,0
3,2,2023,18,55,0,0,0
3,2,2023,18,50,71.4,0,0.1
3,2,2023,18,45,0,0,0.3
3,2,2023,18,40,71.2,0,1.1
3,2,2023,18,35,0,0,3
3,2,2023,18,30,0,0,5.9
3,2,2023,18,25,72,0,9.7
3,2,2023,18,20,72.1,0,14.9
3,2,2023,18,15,72.5,0,21.8
3,2,2023,18,10,72.3,0,26.1
3,2,2023,18,5,0,0,39.9
3,2,2023,18,0,73,0,35.4
3,2,2023,17,55,0,0,46.9
3,2,2023,17,50,73.2,0,38.6
3,2,2023,17,45,0,0,60.1
3,2,2023,17,40,0,0,68.3
3,2,2023,17,35,73.6,0,107
3,2,2023,17,30,73.9,0,93.5
3,2,2023,17,25,74.1,0,84.1
3,2,2023,17,20,73.4,0,57.3
3,2,2023,17,15,73,0,65.3
3,2,2023,17,10,73.6,0,98.4
3,2,2023,17,5,0,0,97.4
3,2,2023,17,0,73.8,0,123
3,2,2023,16,55,0,0,153.8
3,2,2023,16,50,74.8,0,149.5
3,2,2023,16,45,75,0,208.1
3,2,2023,16,41,75,0,232
3,2,2023,16,35,75.2,0,184.4
3,2,2023,16,30,75.4,0,136.2
3,2,2023,16,25,0,0,87.5
3,2,2023,16,20,75.9,0,86.2
3,2,2023,16,15,0,0,121.3
3,2,2023,16,10,76.5,0,165.5
3,2,2023,16,5,75.7,0,164.5
3,2,2023,16,0,75.9,0,176.3
3,2,2023,15,55,0,0,186.1
3,2,2023,15,50,0,0,235
3,2,2023,15,45,76.5,0,164.9
3,2,2023,15,40,0,0,122.4
3,2,2023,15,35,0,0,139.3
3,2,2023,15,30,76.1,0,127.2
3,2,2023,15,25,0,0,153.7
3,2,2023,15,20,0,0,201.3
3,2,2023,15,15,76.8,0,256.2
3,2,2023,15,10,0,0,854.4
3,2,2023,15,5,0,0,923.8
3,2,2023,15,0,0,0,857.5
3,2,2023,14,55,0,0,746.3
3,2,2023,14,50,0,0,399.6
3,2,2023,14,45,77.2,0,284.5
3,2,2023,14,40,77.5,0,313.4
3,2,2023,14,35,76.6,0,394.4
3,2,2023,14,30,77.4,0,433.2
3,2,2023,14,25,78.4,0,408.8
3,2,2023,14,20,78.6,0,974
3,2,2023,14,15,0,0,931.7
3,2,2023,14,10,76.3,0,749.3
3,2,2023,14,5,76.5,0,176.6
3,2,2023,14,0,77.4,0,272.3
3,2,2023,13,55,77.4,0,1084.1
3,2,2023,13,50,77.2,0,403.9
3,2,2023,13,45,77.4,0,1083
3,2,2023,13,40,77.7,0,674.7
3,2,2023,13,35,77.4,0,1096
3,2,2023,13,30,77.5,0,828.2
3,2,2023,13,25,77.5,0,1018.1
3,2,2023,13,20,0,0,1037
3,2,2023,13,15,76.8,0,1060.2
3,2,2023,13,10,78.4,0,535.7
3,2,2023,13,5,77.7,0,1135.6
3,2,2023,13,0,78.1,0,1055.1
3,2,2023,12,55,77.5,0,1030
3,2,2023,12,50,77,0,1042.5
3,2,2023,12,45,78.8,0,1061.3
3,2,2023,12,40,79.9,0,1098.4
3,2,2023,12,35,80.6,0,522.4
3,2,2023,12,30,79.2,0,1107.2
3,2,2023,12,25,0,0,1123.7
3,2,2023,12,20,79.2,0,1135.4
3,2,2023,12,15,79.3,0,1187
3,2,2023,12,10,79.2,0,1197
3,2,2023,12,5,79.7,0,1221.9
3,2,2023,12,0,78.4,0,1141.4
3,2,2023,11,55,77.7,0,582.8
